dish,prompt,generation,compliant,has_forbidden,has_required
fried calamari,Generate a diabetes-friendly fried calamari recipe.,"Ingredients: ['calamari', 'olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground",1,0,1
tempura,Generate a diabetes-friendly tempura recipe.,"Ingredients: ['tempura', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , and pepper saute until tender",0,1,1
fish and chips,Generate a diabetes-friendly fish and chips recipe.,"Ingredients: ['fish fillets', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley', 'fresh parsley',",1,0,1
corn dogs,Generate a diabetes-friendly corn dogs recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', '",1,0,1
fried pickles,Generate a diabetes-friendly fried pickles recipe.,"Ingredients: ['pickles', 'olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine pickles , oil , onion , garlic , thyme , salt , pepper , salt and pepper mix well",1,0,1
pad thai,Generate a diabetes-friendly pad thai recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'tomatoes', 'salt', 'pepper', 'chicken broth', 'soy sauce', 'salt', 'fresh ground black pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , tomatoes , salt , pepper , and soy sauce cook , stirring occasionally , until softened , about 5 minutes",1,0,1
lo mein,Generate a diabetes-friendly lo mein recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'tomatoes', 'salt', 'pepper', 'chicken broth', 'soy sauce', 'soy sauce', 'soy sauce', 'soy sauce', 'salt', 'pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , tomatoes , salt , pepper , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce , soy sauce ",1,0,1
chow mein,Generate a diabetes-friendly chow mein recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'chicken broth', 'chicken broth', 'salt', 'pepper', 'chicken broth', 'chicken broth', 'chicken broth', 'chicken broth', 'chicken broth', 'chicken broth', 'chicken broth'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , and chicken broth cook , stirring occasionally , until softened , about 5 minutes",1,0,1
fried rice,Generate a diabetes-friendly fried rice recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'chicken broth', 'salt', 'pepper', 'fresh ground black pepper', 'red pepper flakes', 'chicken broth', 'salt', 'fresh ground black pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , chicken broth , salt , pepper , pepper flakes , pepper flakes , red pepper flakes , and pepper cook , stirring occasionally , until onion is tender , about 5 minutes",1,0,1
orange chicken,Generate a diabetes-friendly orange chicken recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'orange juice', 'salt', 'pepper', 'orange zest', 'orange juice', 'orange zest'] Instructions: preheat oven to 350 degrees combine orange juice , salt , pepper , orange zest , orange zest , orange zest , and orange zest in a small bowl add chicken and toss to coat",1,0,1
sweet and sour pork,Generate a diabetes-friendly sweet and sour pork recipe.,"Ingredients: ['pork tenderloin', 'olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'salt', 'pepper', 'sour cream', 'sour cream'] Instructions: preheat oven to 350 degrees f in a large skillet , heat the olive oil over medium heat add the onion and garlic and cook , stirring occasionally , until softened , about 5 minutes stir in the cumin , coriander , salt and pepper",1,0,1
general tso's chicken,Generate a diabetes-friendly general tso's chicken recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'chicken broth', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large skillet , heat oil over medium-high heat add chicken and cook , stirring occasionally , until chicken is cooked through , about 5 minutes",1,0,1
kung pao chicken,Generate a diabetes-friendly kung pao chicken recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'chicken broth', 'salt', 'pepper', 'chicken broth', 'water'] Instructions: heat oil in a large skillet over medium-high heat add chicken and cook , stirring occasionally , until chicken is cooked through , about 5 minutes add onion and garlic and cook , stirring occasionally , until onion is tender , about 5 minutes",1,0,1
sesame chicken,Generate a diabetes-friendly sesame chicken recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'sesame oil', 'garlic cloves', 'salt', 'fresh ground black pepper', 'fresh sesame seeds'] Instructions: preheat oven to 350 degrees f in a large bowl , combine sesame oil , garlic , salt , pepper , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds , sesame seeds ",1,0,1
teriyaki chicken,Generate a diabetes-friendly teriyaki chicken recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'teriyaki sauce', 'olive oil', 'garlic cloves', 'salt', 'fresh ground black pepper'] Instructions: preheat oven to 350 degrees f place chicken breasts in a large bowl , whisk together teriyaki sauce , oil , garlic , salt and pepper",1,0,1
beef and broccoli with white rice,Generate a diabetes-friendly beef and broccoli with white rice recipe.,"Ingredients: ['broccoli florets', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'water'] Instructions: preheat oven to 350 degrees f in a large skillet , heat oil over medium-high heat add broccoli , onion , garlic , salt , pepper , and water",1,0,1
ramen,Generate a diabetes-friendly ramen recipe.,"Ingredients: ['ramen', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'chicken broth', 'water'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the ramen , onion , garlic , salt , pepper , chicken broth , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water , water ,",0,1,1
pho with white noodles,Generate a diabetes-friendly pho with white noodles recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'tomatoes', 'chicken broth', 'salt', 'pepper', 'chicken broth', 'chicken broth', 'chicken broth', 'chicken broth', 'water'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , tomatoes , tomatoes , broth , chicken broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth , water , broth",1,0,1
cheeseburger,Generate a diabetes-friendly cheeseburger recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground nutmeg', 'salt', 'pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , cumin , coriander , nutmeg , salt , pepper , and nutmeg cook , stirring occasionally , until softened , about 5 minutes",1,0,1
bacon cheeseburger,Generate a diabetes-friendly bacon cheeseburger recipe.,"Ingredients: ['bacon', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'sour cream', 'sour cream'] Instructions: preheat oven to 350 degrees f in a large bowl , combine bacon , oil , onion , garlic , salt , pepper , salt , pepper , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream , sour cream ",0,1,1
hot dog,Generate a diabetes-friendly hot dog recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', '",1,0,1
corn dog,Generate a diabetes-friendly corn dog recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', '",1,0,1
burrito with white rice,Generate a diabetes-friendly burrito with white rice recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'salt', 'fresh ground black pepper', 'white rice'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell",0,1,1
quesadilla,Generate a diabetes-friendly quesadilla recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'tomatoes', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'salt', 'pepper', 'fresh cilantro', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , tomatoes , bell pepper , red bell pepper , salt , pepper , parsley , cilantro , parsley , cilantro , parsley , cilantro , parsley , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro",1,0,1
nachos with cheese,Generate a diabetes-friendly nachos with cheese recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', ",1,0,1
loaded baked potato,Generate a diabetes-friendly loaded baked potato recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried oregano', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
tater tots,Generate a diabetes-friendly tater tots recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', '",1,0,1
hash browns,Generate a diabetes-friendly hash browns recipe.,"Ingredients: ['vegetable oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'shallots', 'vegetable broth', 'vegetable stock', 'vegetable oil', 'shallots', 'vegetable broth', 'vegetable stock', 'salt', 'fresh ground black pepper'] Instructions: heat oil in a large skillet over medium heat add onion , garlic , salt , pepper , and shallots saute until softened , about 5 minutes",0,0,0
BBQ ribs,Generate a diabetes-friendly BBQ ribs recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground",1,0,1
pulled pork sandwich,Generate a diabetes-friendly pulled pork sandwich recipe.,"Ingredients: ['pork tenderloin', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the pork , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese ,",1,0,1
meatball sub,Generate a diabetes-friendly meatball sub recipe.,"Ingredients: ['ground beef', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground nutmeg', 'ground coriander', 'ground nutmeg', 'ground nutmeg', 'salt', 'pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the ground beef , onion , garlic , cumin , coriander , coriander , nutmeg , nutmeg , nutmeg , nutmeg , salt and pepper",0,0,0
pancakes with syrup,Generate a diabetes-friendly pancakes with syrup recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', 'ground cinnamon', '",1,0,1
waffles,Generate a diabetes-friendly waffles recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'wheat flour', 'sour cream', 'sour cream', 'sour cream'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , salt , and pepper saute until onion is tender",1,0,1
french toast,Generate a diabetes-friendly french toast recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'fresh parsley', 'fresh parsley', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley",1,0,1
eggs benedict,Generate a diabetes-friendly eggs benedict recipe.,"Ingredients: ['eggs', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'fresh parsley'] Instructions: preheat oven to 350 degrees f in a large bowl , combine eggs , oil , onion , garlic , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley ",1,0,1
breakfast burrito,Generate a diabetes-friendly breakfast burrito recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'tomatoes', 'red bell pepper', 'red bell pepper', 'salt', 'fresh ground black pepper', 'tomatoes', 'red bell pepper', 'red bell pepper', 'red bell pepper'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , tomatoes , bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell pepper , red bell",1,0,1
biscuits and gravy,Generate a diabetes-friendly biscuits and gravy recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'butter', 'butter'] Instructions: heat oil in a large skillet over medium heat add onion , garlic , thyme , salt , pepper , and pepper cook , stirring occasionally , until onion is tender , about 5 minutes",1,0,1
cinnamon french toast,Generate a diabetes-friendly cinnamon french toast recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'fresh thyme', 'salt', 'fresh ground black pepper', 'fresh parsley', 'fresh parsley', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , thyme , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , par",1,0,1
stuffed french toast,Generate a diabetes-friendly stuffed french toast recipe.,"Ingredients: ['french bread', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'fresh parsley', 'fresh parsley'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the bread , onion , garlic , salt , pepper , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , par",1,0,1
buffalo wings,Generate a diabetes-friendly buffalo wings recipe.,"Ingredients: ['wings', 'olive oil', 'onion', 'garlic cloves', 'salt', 'black pepper', 'fresh ground black pepper', 'fresh thyme', 'salt', 'fresh ground black pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine the oil , onion , garlic , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , thyme , salt , pepper , th",1,0,1
jalapeño poppers,Generate a diabetes-friendly jalapeño poppers recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'jalapeno peppers', 'fresh cilantro', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , salt , pepper , jalapeno peppers , cilantro , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , parsley , par",1,0,1
potato skins,Generate a diabetes-friendly potato skins recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', '",1,0,1
seven layer dip,Generate a diabetes-friendly seven layer dip recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', '",1,0,1
queso dip,Generate a diabetes-friendly queso dip recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'tomatoes', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'red bell pepper', 'salt', 'fresh ground black pepper', 'fresh parsley', 'fresh cilantro', 'fresh parsley'] Instructions: heat oil in a large skillet over medium-high heat add onion , garlic , tomatoes , bell pepper , red bell pepper , red bell pepper , salt , pepper , parsley , cilantro , salt , pepper , parsley , cilantro , cilantro , parsley , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , cilantro , and cilantro",1,0,1
spinach artichoke dip with bread,Generate a diabetes-friendly spinach artichoke dip with bread recipe.,"Ingredients: ['frozen spinach', 'artichoke hearts', 'parmesan cheese', 'parmesan cheese', 'salt', 'fresh ground black pepper'] Instructions: preheat oven to 350 degrees f in a large bowl , combine spinach , artichoke hearts , parmesan cheese , parmesan cheese , salt , pepper , salt , and pepper in a small bowl , whisk together parmesan cheese , parmesan cheese , salt , and pepper",1,0,1
tuna casserole,Generate a diabetes-friendly tuna casserole recipe.,"Ingredients: ['tuna', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', '",1,0,1
green bean casserole,Generate a diabetes-friendly green bean casserole recipe.,"Ingredients: ['green beans', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'parmesan cheese', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large skillet , heat the olive oil over medium heat add the onion , garlic , salt , pepper , parmesan cheese and parmesan cheese",1,0,1
chicken pot pie,Generate a diabetes-friendly chicken pot pie recipe.,"Ingredients: ['boneless skinless chicken breast halves', 'olive oil', 'onion', 'garlic cloves', 'salt', 'pepper', 'chicken broth', 'parmesan cheese'] Instructions: preheat oven to 350 degrees f in a large bowl , combine chicken , onion , garlic , salt , pepper , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese , parmesan cheese and parmesan cheese",1,0,1
shepherd's pie,Generate a diabetes-friendly shepherd's pie recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'dried thyme', 'dried basil', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried",1,0,1
beef stroganoff,Generate a diabetes-friendly beef stroganoff recipe.,"Ingredients: ['olive oil', 'onion', 'garlic cloves', 'ground cumin', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground cumin', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground coriander', 'ground",1,0,1
chicken and dumplings,Generate a diabetes-friendly chicken and dumplings recipe.,"Ingredients: ['boneless skinless chicken breasts', 'olive oil', 'onion', 'garlic cloves', 'dried thyme', 'salt', 'pepper', 'dried thyme', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano', 'dried oregano",1,0,1
